lon,lat
10.412959,57.236708
10.445952,57.220083
10.496302,57.248173
10.514588,57.245788
9.527054,57.204381
9.588932,57.193847
9.601785,57.194245
9.635705,57.193582
9.686188,57.203408
9.718519,57.184970
9.751909,57.186560
9.769399,57.204183
9.799874,57.213723
9.845587,57.205640
9.872618,57.207495
9.919921,57.209129
9.936616,57.194316
9.984979,57.184572
10.005649,57.204183
10.062492,57.185235
10.091510,57.183777
10.102110,57.189607
10.158821,57.206038
10.192476,57.211073
10.206257,57.200472
10.239779,57.211470
10.295165,57.210180
10.307885,57.186427
10.366848,57.182386
10.376786,57.206001
10.420247,57.202990
10.472187,57.210278
11.623625,57.192655
11.639923,57.189893
8.965115,57.152971
9.322869,57.150254
9.364607,57.149239
9.419860,57.168865
9.440530,57.180200
9.475246,57.178875
9.520429,57.148744
9.551037,57.161120
9.566274,57.158072
9.602050,57.177682
9.636368,57.177815
9.689898,57.149459
9.716134,57.161290
9.763437,57.172647
9.812727,57.150122
9.851418,57.180597
9.866788,57.152242
9.902828,57.176092
9.939796,57.172780
9.988557,57.175827
10.027910,57.175032
10.049905,57.160722
10.079718,57.175562
10.130996,57.164830
10.154978,57.168231
10.186249,57.169178
10.216989,57.170262
10.246935,57.159971
10.294503,57.168937
10.330145,57.158205
10.345251,57.173575
10.402359,57.152692
10.418391,57.169600
11.612230,57.162224
11.629588,57.173531
11.677951,57.168275
8.603651,57.121524
8.637704,57.115009
8.943385,57.146279
8.973463,57.134222
8.996253,57.114126
9.048458,57.126537
9.063829,57.118719
9.105567,57.122164
9.126369,57.139522
9.164265,57.135812
9.189175,57.124152
9.235153,57.129187
9.347382,57.138462
9.365535,57.125079
9.396142,57.116003
9.432978,57.120442
9.462791,57.127729
9.522416,57.118719
9.530764,57.144557
9.606952,57.132035
9.650810,57.123764
9.663398,57.139787
9.703016,57.116732
9.766087,57.133162
9.799344,57.124085
9.860030,57.123754
9.867715,57.117394
9.917933,57.140913
9.960069,57.137402
9.966296,57.142039
10.028440,57.143364
10.048050,57.139280
10.093895,57.145484
10.128611,57.121104
10.140006,57.124682
10.185454,57.134752
10.216724,57.144027
10.260847,57.144292
10.281385,57.144053
10.331736,57.127994
10.357308,57.146677
10.402889,57.146044
10.408984,57.146014
7.891190,57.090629
8.575031,57.105734
8.616504,57.105668
8.642871,57.112094
8.705015,57.081354
8.714422,57.087515
8.775373,57.100920
8.851959,57.107191
8.885747,57.083871
8.945505,57.089304
8.978498,57.089913
9.012286,57.104343
9.047928,57.087846
9.076284,57.088111
9.103844,57.108516
9.135512,57.088641
9.160157,57.095399
9.190633,57.087979
9.244163,57.086786
9.275301,57.087531
9.312534,57.099838
9.330554,57.089171
9.370570,57.081354
9.399190,57.081884
9.428340,57.108649
9.488231,57.083980
9.516851,57.103526
9.530101,57.101096
9.588535,57.110742
9.599135,57.092683
9.690561,57.080956
9.697583,57.084136
9.751644,57.088244
9.784902,57.112809
9.851285,57.102726
9.873015,57.085801
9.923101,57.087780
9.957816,57.085618
9.965899,57.086199
10.027777,57.104078
10.033077,57.108605
10.083428,57.081221
10.105820,57.085196
10.155509,57.085594
10.169156,57.087316
10.222952,57.080294
10.269460,57.082414
10.298610,57.095929
10.336638,57.105071
10.353333,57.087581
11.123299,57.084666
8.539388,57.071946
8.637306,57.070224
8.670167,57.046638
8.681827,57.068368
8.717867,57.053330
8.756690,57.052071
8.796706,57.057371
8.820953,57.050746
8.869581,57.060021
8.886012,57.073006
8.931460,57.055118
8.961140,57.077511
8.992543,57.077445
9.098412,57.075789
9.125972,57.054058
9.152605,57.063731
9.211833,57.058563
9.251981,57.054721
9.272651,57.061478
9.311739,57.058497
9.351489,57.066778
9.379050,57.050363
9.408995,57.068103
9.438410,57.073006
9.480678,57.058166
9.500819,57.071151
9.542822,57.072476
9.573164,57.063068
9.603772,57.070952
9.659953,57.076054
9.699041,57.064526
9.729119,57.067441
9.836312,57.067176
9.975836,57.058156
10.014129,57.047765
10.072960,57.050216
10.120793,57.068670
10.136826,57.072741
10.183466,57.068463
10.207317,57.069826
10.256740,57.078969
10.293708,57.073315
10.309740,57.057768
10.346841,57.053793
8.478569,57.044241
8.511297,57.041603
8.561648,57.030076
8.588546,57.021728
8.670299,57.034536
8.707267,57.024908
8.734430,57.013089
8.751258,57.045128
8.801873,57.027823
8.822278,57.029025
8.850899,57.012320
8.898997,57.041736
8.979028,57.040013
8.986315,57.040808
9.129417,57.037032
9.154725,57.040427
9.212495,57.034846
9.224553,57.030473
9.281131,57.042001
9.292129,57.014324
9.338504,57.041044
9.358777,57.031401
9.405947,57.039927
9.583632,57.043723
9.611590,57.025570
9.684731,57.021860
9.725674,57.021662
9.753366,57.023450
9.788214,57.017488
9.815112,57.041885
9.859500,57.035906
9.885735,57.027634
9.953179,57.026048
9.969609,57.026870
10.030825,57.032536
10.063552,57.041962
10.081175,57.026366
10.129406,57.015235
10.146763,57.029337
10.181744,57.041868
10.208642,57.023980
10.252367,57.014970
10.284167,57.016030
10.319810,57.023848
10.360091,57.039351
8.482942,56.980520
8.523752,56.984098
8.561118,56.984495
8.593051,56.988073
8.621671,56.997878
8.644461,57.006358
8.695342,56.994433
8.716807,56.984098
8.746355,56.998143
8.797103,56.999004
8.834866,56.998275
8.923510,57.004768
9.240718,57.000925
9.284576,57.003655
9.289744,56.993619
9.334662,56.978930
9.363812,57.005430
9.402502,57.011128
9.436688,56.982632
9.460008,56.982953
9.500951,57.011658
9.549314,56.989795
9.647763,56.987898
9.664325,56.994660
9.702353,56.982132
9.738791,57.004900
9.787817,56.978665
9.882688,56.998548
9.923101,57.007583
9.963249,57.006888
10.107543,56.990458
10.194861,57.003045
10.207449,56.999865
10.239514,56.991650
10.297153,57.003045
10.309475,56.989477
10.340348,56.999600
8.365943,56.952695
8.381446,56.953490
8.413511,56.972835
8.460947,56.954550
8.496855,56.950310
8.540978,56.949780
8.605903,56.958687
8.618756,56.970450
8.670034,56.952135
8.705147,56.955829
8.736285,56.966324
8.749005,56.972349
8.784780,56.959585
8.820688,56.975087
8.871171,56.949794
8.893167,56.949515
8.922582,56.975087
9.249066,56.957200
9.284841,56.968077
9.291599,56.964620
9.330687,56.961054
9.354669,56.951966
9.421848,56.962500
9.448480,56.951105
9.485581,56.963692
9.500686,56.945142
9.562299,56.960910
9.592642,56.947461
9.650678,56.962124
9.674926,56.964898
